utr_deployments,deployment_longname,UTR_array_type,latitude,longitude,HOBO_Pos_1,HOBO_Pos_2,HOBO_Pos_3,HOBO_Pos_4,HOBO_Pos_5,HOBO_Pos_6,HOBO_Pos_7,Accoustic_release_code,Acoustic_activation_date,deployment_date,retrieval_date,days_retrieval,Retrieval_Clas
WOODY,Woody Cape,30m,-33.75499,26.22842,20190464,20174970,20700640,20190442,,,,547158.0,2022-04-13 10:00:00,2022-04-13 10:00:00,2022-10-10 10:00:00,47.98922996381945,1
BIO,Bird Island Outer,30m,-33.8688,26.29087,20190332,20174992,20190347,20190423,,,,547862.0,2022-04-13 10:00:00,2022-04-13 10:00:00,2022-10-10 10:00:00,47.98922996381945,1
BI80,Bird Island 80m,80m,-33.90355,26.29985,20190393,20175019,20174977,20174984,20190310.0,20175020.0,20190307.0,547131.0,2022-04-13 10:00:00,2022-04-13 10:00:00,2022-10-10 10:00:00,47.98922996381945,1
TS,test,30m,-26.77,-31.295,1232132111,123123111,1233333,121123121,,,,1221231231.0,2022-07-05 10:00:00,2022-07-06 10:00:00,2023-01-01 10:00:00,130.98922996381944,1
Schoenies80,Schoenmakerskop,80m,,,20190291,20190314,20190457,20190321,20190308.0,20190452.0,20190300.0,,2022-07-18 10:00:00,2022-07-22 10:00:00,2023-01-14 10:00:00,143.98922996381944,1
Schoen80m,Schoenmakerskop_80m,80m,,,20190291,20190314,20190457,20190321,20190305.0,20190452.0,20190300.0,,,2022-07-22 10:00:00,,,
CR30m,Cape_Recife_30m ,30m,,,20190381,20174988,20175025,20190466,,,,,,2022-07-22 10:00:00,,,
StCx30m,St_Croix_30m,30m,,,20190333,20199618,20174987,20190477,,,,,,2022-07-22 10:00:00,,,
BHB30m,Blue-Horizon-Bay,30m,,,20190437,20190446,20190382,20190436,,,,547842.0,,2022-05-12 10:00:00,,,
ABM80m,Algoa_Bay_Mouth,80m,,,20190353,20190326,20190406,20719624,20700630.0,20190354.0,20174876.0,547151.0,,2022-06-02 10:00:00,,,
uThukela UTR 30m,KZNBSS-uThukela-MPA-UTR-Inner,30m,,,20719501,20719595,20719593,20719590,,,,547864.0,2022-06-23 10:00:00,2022-08-01 10:00:00,2022-12-20 10:00:00,118.98922996381944,1
uThukela UTR 60m,KZNBSS-uThukela-MPA-UTR-Middle,60m,,,20719598,20719594,20719596,20719602,20719591.0,,,547854.0,2022-06-23 10:00:00,2022-08-01 10:00:00,2022-12-20 10:00:00,118.98922996381944,1
uThukela 80m,KZNBSS-uThukela-MPA-UTR-Outer,80m,,,20719599,20719597,20719605,20719603,20719604.0,20719600.0,20719592.0,547167.0,2022-06-23 10:00:00,2022-08-01 10:00:00,2022-12-20 10:00:00,118.98922996381944,1
BII,Bird Island Inner,30m,,,20175003,20190330,20190313,20174973,,,,547862.0,2022-04-12 10:00:00,2022-08-11 10:00:00,2022-10-09 10:00:00,46.98922996381945,1
Dunes,Alexandria Dune Fields,30m,,,20175014,20190341,20190375,20174986,,,,547846.0,2022-05-05 10:00:00,2022-06-02 10:00:00,2022-11-01 10:00:00,69.98922996381944,1
Sun,Sundays,30m,,,20190346,20190342,20190348,20174968,,,,547139.0,2022-05-19 10:00:00,2022-06-02 10:00:00,2022-11-15 10:00:00,83.98922996381944,1
ABC60m,Algoa Bay Central,60m,,,20190331,20190478,20700674,20190339,20174996.0,,,547136.0,2022-05-19 10:00:00,2022-06-02 10:00:00,2022-11-15 10:00:00,83.98922996381944,1
STF60,St-Francis-West,60m,,,20700667,20190334,20174985,20175012,20190474.0,,,547129.0,2022-05-09 10:00:00,2022-05-12 10:00:00,2022-11-05 10:00:00,73.98922996381944,1
Thys,Thyspunt,30m,,,20190324,20190451,20174995,20190374,,,,547156.0,2022-05-09 10:00:00,2022-05-12 10:00:00,2022-11-05 10:00:00,73.98922996381944,1
Gam,Gamtoos,30m,,,20190459,20174972,20190322,20190343,,,,547852.0,2022-05-09 10:00:00,2022-05-12 10:00:00,2022-11-05 10:00:00,73.98922996381944,1
CSF,Cape St Francis,30m,,,20174999,20190292,20190317,20190396,,,,547861.0,2022-05-09 10:00:00,2022-05-12 10:00:00,2022-11-05 10:00:00,73.98922996381944,1
Bluff30m,Bluff-Inner,30m,,,20700635,20700678,20700664,20700679,,,,547838.0,2022-06-20 10:00:00,2022-06-20 10:00:00,2022-12-17 10:00:00,115.98922996381944,1
Bluff60m,Bluff-Middle,60m,,,20700643,20700642,20700634,20700662,20700680.0,,,547853.0,2022-06-20 10:00:00,2022-06-20 10:00:00,2022-12-17 10:00:00,115.98922996381944,1
Bluff80m,Bluff-Outer,80m,,,20700636,20700672,20700671,20700670,20700645.0,20700644.0,20700663.0,547849.0,2022-06-20 10:00:00,2022-06-20 10:00:00,2022-12-17 10:00:00,115.98922996381944,1
